dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
58,634,Greensburg,Effectv,132265,18395,9903.0,122362.0,92.51,7.49
58,636,Mon Valley-McKeesport,Effectv,77320,15511,8245.0,69075.0,89.34,10.66
58,637,Uniontown,Effectv,112840,8295,1734.0,111106.0,98.46000000000001,1.54
58,1018,Monroeville,Effectv,193188,3178,1187.0,192001.0,99.39,0.61
58,2291,Mt. Pleasant,Ad Systems,110272,9412,290.0,109982.0,99.74,0.26
58,2422,DirecTV- I+ Pittsburgh,Effectv,1774540,35399,2743.0,1771797.0,99.85000000000001,0.15
58,2456,DISH- I+ Pittsburgh,Effectv,1749856,35399,1608.0,1748248.0,99.91,0.09
58,2661,Blairsville,Effectv,264946,6332,1664.0,263282.0,99.37,0.63
58,2662,Mt. Lebanon-Bethel Park,Effectv,290433,5381,1127.0,289306.0,99.61,0.39
58,6133,Fay West-California,Effectv,148745,15644,3177.0,145568.0,97.86,2.14
58,6688,Pittsburgh Interconnect,Effectv,1853587,35399,23592.0,1829995.0,98.72999999999999,1.27
58,9359,Laurel Highlands,Ad Systems,35767,3198,558.0,35209.0,98.44000000000001,1.56
