dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
50,1290,Washington,Effectv,22347,20900,11436.0,10911.0,48.83,51.17
50,6688,Pittsburgh Interconnect,EffectvInterconnect,73213,53945,35953.0,37260.0,50.89,49.11
152,3157,Lower Bucks County,Effectv,114390,82661,53094.0,61296.0,53.59,46.41
168,245,W Delaware County,Comcast,311059,173832,142945.0,168114.0,54.05,45.95
48,6688,Pittsburgh Interconnect,ComcastInterconnect,413936,245630,183878.0,230058.0,55.58,44.42
49,6132,Cranberry-Butler,Comcast,2574,2574,1120.0,1454.0,56.489999999999995,43.51
200,5284,Chestnut Hill-Mt. Airy,Comcast,245328,142585,94023.0,151305.0,61.67,38.33
146,264,W Montgomery County,Comcast,344473,152985,125426.0,219047.0,63.59,36.41
162,6500,Philadelphia Interconnect,EffectvInterconnect,164242,83205,59787.0,104455.0,63.6,36.4
48,1290,Washington,Comcast,247280,158048,85734.0,161546.0,65.33,34.67
114,8133,Carbondale,Comcast,37174,29819,12713.0,24461.0,65.8,34.2
146,6500,Philadelphia Interconnect,ComcastInterconnect,398890,172982,134827.0,264063.0,66.2,33.8
18,6500,Philadelphia Interconnect,ComcastInterconnect,102188,45872,33852.0,68336.0,66.86999999999999,33.13
160,245,W Delaware County,Effectv,171676,90079,55278.0,116398.0,67.80000000000001,32.2
61,3523,Central MontCo,Comcast,590145,202629,175336.0,414809.0,70.28999999999999,29.71
157,264,W Montgomery County,Comcast,342311,122353,100312.0,241999.0,70.7,29.3
161,6500,Philadelphia Interconnect,ComcastInterconnect,297020,110989,86508.0,210512.0,70.87,29.13
18,3157,Lower Bucks County,Comcast,102188,45872,29294.0,72894.0,71.33,28.67
152,5282,SE Montgomery County,Effectv,278736,120211,78789.0,199947.0,71.73,28.27
157,6500,Philadelphia Interconnect,ComcastInterconnect,590279,213339,166282.0,423997.0,71.83,28.17
161,245,W Delaware County,Comcast,210870,71074,58445.0,152425.0,72.28,27.72
29,6500,Philadelphia Interconnect,EffectvInterconnect,416364,156484,112791.0,303573.0,72.91,27.09
44,1248,Hopewell-Moon,Effectv,218169,130719,58515.0,159654.0,73.18,26.82
200,6500,Philadelphia Interconnect,ComcastInterconnect,420738,144805,112600.0,308138.0,73.24000000000001,26.76
58,636,Mon Valley-McKeesport,Effectv,104351,51840,27557.0,76794.0,73.59,26.41
44,6132,Cranberry-Butler,Effectv,73540,49815,18942.0,54598.0,74.24,25.76
146,262,Upper Bucks County,Comcast,54417,19997,13858.0,40559.0,74.53,25.47
131,264,W Montgomery County,Effectv,66021,30992,16278.0,49743.0,75.33999999999999,24.66
162,247,E Delaware County,Effectv,164242,83205,40199.0,124043.0,75.52,24.48
29,3157,Lower Bucks County,Effectv,262293,99918,63921.0,198372.0,75.63,24.37
30,4495,AK Valley,Effectv,277048,169769,66842.0,210206.0,75.87,24.13
157,247,E Delaware County,Comcast,123930,59094,29662.0,94268.0,76.07000000000001,23.93
157,261,Chester County,Comcast,123745,31599,29210.0,94535.0,76.4,23.6
61,6500,Philadelphia Interconnect,ComcastInterconnect,749507,218956,170660.0,578847.0,77.23,22.77
152,6500,Philadelphia Interconnect,EffectvInterconnect,610409,192039,137990.0,472419.0,77.39,22.61
106,5976,HLLY Interconnect,EffectvInterconnect,475232,185756,106854.0,368378.0,77.52,22.48
26,5976,HLLY Interconnect,EffectvInterconnect,65336,25480,14657.0,50679.0,77.57,22.43
29,901,Central Bucks County,Effectv,374859,155893,81391.0,293468.0,78.29,21.71
162,245,W Delaware County,Effectv,14457,5016,3078.0,11379.0,78.71000000000001,21.29
120,2377,Upper Metro,Effectv,252792,134210,53760.0,199032.0,78.73,21.27
26,5932,Lancaster Metro,Effectv,54962,24781,11573.0,43389.0,78.94,21.06
151,6500,Philadelphia Interconnect,EffectvInterconnect,721013,209596,150605.0,570408.0,79.11,20.89
105,5976,HLLY Interconnect,EffectvInterconnect,423281,152486,87716.0,335565.0,79.28,20.72
106,5931,Harrisburg East,Effectv,475232,185756,98236.0,376996.0,79.33,20.67
58,2662,Mt. Lebanon-Bethel Park,Effectv,13602,13428,2812.0,10790.0,79.33,20.67
48,4936,Canonsburg-South Fayette,Comcast,413936,245630,85288.0,328648.0,79.4,20.6
165,6500,Philadelphia Interconnect,ComcastInterconnect,520128,136396,106311.0,413817.0,79.56,20.44
161,247,E Delaware County,Comcast,273323,110986,55710.0,217613.0,79.62,20.38
151,5282,SE Montgomery County,Effectv,118684,35261,23111.0,95573.0,80.53,19.47
178,6500,Philadelphia Interconnect,EffectvInterconnect,495281,131629,94582.0,400699.0,80.9,19.1
105,5931,Harrisburg East,Effectv,423281,152486,80641.0,342640.0,80.95,19.05
44,6688,Pittsburgh Interconnect,EffectvInterconnect,717275,204030,135980.0,581295.0,81.04,18.96
161,9550,Verizon-Philadelphia,Comcast,265187,110930,49540.0,215647.0,81.32000000000001,18.68
144,901,Central Bucks County,Effectv,284670,100795,52940.0,231730.0,81.39999999999999,18.6
168,6500,Philadelphia Interconnect,ComcastInterconnect,798362,187441,146097.0,652265.0,81.69999999999999,18.3
30,6132,Cranberry-Butler,Effectv,124554,58954,22417.0,102137.0,82.0,18.0
144,6500,Philadelphia Interconnect,EffectvInterconnect,528180,127061,91300.0,436880.0,82.71,17.29
49,636,Mon Valley-McKeesport,Comcast,104385,44267,17977.0,86408.0,82.78,17.22
114,2377,Upper Metro,Comcast,155832,53545,26811.0,129021.0,82.78999999999999,17.21
160,6500,Philadelphia Interconnect,EffectvInterconnect,567768,135234,97173.0,470595.0,82.89,17.11
114,9166,Wilkes Barre Super Zone,Comcast,198226,83996,33319.0,164907.0,83.19,16.81
178,3157,Lower Bucks County,Effectv,375655,96018,61673.0,313982.0,83.58,16.42
131,6500,Philadelphia Interconnect,EffectvInterconnect,607787,135865,97626.0,510161.0,83.94,16.06
50,637,Uniontown,Effectv,63954,48962,10233.0,53721.0,84.0,16.0
58,637,Uniontown,Effectv,49397,37797,7900.0,41497.0,84.00999999999999,15.99
168,247,E Delaware County,Comcast,384426,121095,60784.0,323642.0,84.19,15.81
58,6688,Pittsburgh Interconnect,EffectvInterconnect,502708,118791,79171.0,423537.0,84.25,15.75
44,638,Greentree-Bridgeville,Effectv,202935,115698,31808.0,171127.0,84.33,15.67
165,247,E Delaware County,Comcast,450353,133393,66957.0,383396.0,85.13,14.87
152,3523,Central MontCo,Effectv,390677,123748,57697.0,332980.0,85.22999999999999,14.77
144,262,Upper Bucks County,Effectv,263943,85038,38870.0,225073.0,85.27,14.73
151,3523,Central MontCo,Effectv,678698,209437,97649.0,581049.0,85.61,14.39
49,6688,Pittsburgh Interconnect,ComcastInterconnect,352207,67318,50381.0,301826.0,85.7,14.3
177,6500,Philadelphia Interconnect,ComcastInterconnect,1338554,244949,190691.0,1147863.0,85.75,14.25
120,9166,Wilkes Barre Super Zone,Effectv,346918,134414,49217.0,297701.0,85.81,14.19
48,637,Uniontown,Comcast,247280,158048,34893.0,212387.0,85.89,14.11
178,901,Central Bucks County,Effectv,495281,131629,69135.0,426146.0,86.04,13.96
44,630,Sewickley,Effectv,93070,50070,12890.0,80180.0,86.15,13.85
30,628,North Hills-Fox Chapel,Effectv,674648,224664,86529.0,588119.0,87.17,12.83
202,6500,Philadelphia Interconnect,ComcastInterconnect,1180662,198610,151267.0,1029395.0,87.19,12.81
160,261,Chester County,Effectv,392619,92836,50242.0,342377.0,87.2,12.8
50,6133,Fay West-California,Effectv,19097,11966,2430.0,16667.0,87.28,12.72
151,3157,Lower Bucks County,Effectv,41505,8193,5262.0,36243.0,87.32,12.68
30,6688,Pittsburgh Interconnect,EffectvInterconnect,1216924,225824,150506.0,1066418.0,87.63,12.37
160,247,E Delaware County,Effectv,95141,23764,11481.0,83660.0,87.92999999999999,12.07
44,2662,Mt. Lebanon-Bethel Park,Effectv,174468,100284,21003.0,153465.0,87.96000000000001,12.04
44,4936,Canonsburg-South Fayette,Effectv,59108,19610,6617.0,52491.0,88.81,11.19
26,6500,Philadelphia Interconnect,EffectvInterconnect,902578,136512,98091.0,804487.0,89.13,10.87
18,901,Central Bucks County,Comcast,69772,13456,7057.0,62715.0,89.89,10.11
58,634,Greensburg,Effectv,364295,64950,34965.0,329330.0,90.4,9.6
131,262,Upper Bucks County,Effectv,130137,27013,12347.0,117790.0,90.51,9.49
26,264,W Montgomery County,Effectv,410070,62848,33010.0,377060.0,91.95,8.05
120,374,Wilkes Barre,Effectv,200848,70946,15215.0,185633.0,92.42,7.58
61,262,Upper Bucks County,Comcast,159362,16327,11315.0,148047.0,92.9,7.1
44,1116,Burgettstown,Ad Systems,37688,7104,2628.0,35060.0,93.03,6.97
151,262,Upper Bucks County,Effectv,256563,38187,17455.0,239108.0,93.2,6.8
48,2422,DirecTV- I+ Pittsburgh,Comcast,413936,245630,27515.0,386421.0,93.35,6.65
26,261,Chester County,Effectv,712022,86869,47013.0,665009.0,93.4,6.6
200,1673,Verizon-Philly,Comcast,420738,144805,27385.0,393353.0,93.49,6.51
131,1853,Lehigh Valley,Effectv,450862,98721,29081.0,421781.0,93.55,6.45
114,2494,DirecTV- I+ Wilkes Barre,Comcast,198226,83996,12562.0,185664.0,93.66,6.34
202,5283,NE Philadelphia,Comcast,905118,198282,54611.0,850507.0,93.97,6.03
58,9359,Laurel Highlands,Ad Systems,28314,9594,1674.0,26640.0,94.08999999999999,5.91
44,628,North Hills-Fox Chapel,Effectv,479162,73036,28130.0,451032.0,94.13,5.87
50,2422,DirecTV- I+ Pittsburgh,Effectv,73259,53991,4184.0,69075.0,94.28999999999999,5.71
152,5283,NE Philadelphia,Effectv,93640,16860,5333.0,88307.0,94.3,5.7
49,6133,Fay West-California,Comcast,93982,22034,5308.0,88674.0,94.35,5.65
131,1042,Svc Electric-Lehigh Valley,Viamedia,570480,116978,31656.0,538824.0,94.45,5.55
177,5283,NE Philadelphia,Comcast,1338554,244949,69104.0,1269450.0,94.84,5.16
26,8960,Eastern Berks,Viamedia,490939,118099,24551.0,466388.0,95.0,5.0
120,2494,DirecTV- I+ Wilkes Barre,Effectv,346918,134414,15299.0,331619.0,95.59,4.41
114,6772,Tunkhannock,Viamedia,15416,2932,640.0,14776.0,95.85000000000001,4.15
165,245,W Delaware County,Comcast,182198,8683,7140.0,175058.0,96.08,3.92
58,1018,Monroeville,Effectv,91038,9534,3560.0,87478.0,96.09,3.91
48,1670,Hickory,Ad Systems,229636,155146,8743.0,220893.0,96.19,3.81
58,2661,Blairsville,Effectv,239260,31660,8322.0,230938.0,96.52,3.48
26,2476,DirecTV- I+ HLLY,Effectv,61115,24553,2116.0,58999.0,96.54,3.46
177,1673,Verizon-Philly,Comcast,1338554,244949,45725.0,1292829.0,96.58,3.42
106,2476,DirecTV- I+ HLLY,Effectv,475232,185756,16007.0,459225.0,96.63000000000001,3.37
50,2456,DISH- I+ Pittsburgh,Effectv,73259,53991,2453.0,70806.0,96.65,3.35
106,5932,Lancaster Metro,Effectv,89225,6095,2846.0,86379.0,96.81,3.19
48,9995,DISH TV- RSN Pittsburgh,Comcast,413936,245630,13124.0,400812.0,96.83,3.17
