city,county,county_pene_rate,dist_sth,dist_sys_voters_pen,dist_voters_indist_est,dist_voters_indist_rate,distcen_hh_indist,in_district,state,sys_census_hh_pene_rate,sys_census_hh_zip_pene,sys_code,sys_media,sys_name,sys_subscribers,sys_type,system_type,zip_census_hh_in_zip,zip_code,zip_l2_voters_in_zip,zone_int
Cherry Hill,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",9230,08002,14459,6500
Cherry Hill,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",10813,08003,21713,6500
Atco,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4295,08004,7948,6500
Barrington,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",2308,08007,3343,6500
Berlin,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",5431,08009,8553,6500
Beverly,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4694,08010,6309,6500
Blackwood,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",15003,08012,24107,6500
Bridgeport,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",198,08014,321,6500
Browns Mills,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",7331,08015,10746,6500
Burlington,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",11922,08016,20721,6500
Chatsworth,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",241,08019,559,6500
Clarksboro,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",858,08020,1881,6500
Clementon,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",18332,08021,24879,6500
Columbus,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",3680,08022,6757,6500
Gibbsboro,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",783,08026,1588,6500
Gibbstown,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",1838,08027,3428,6500
Glassboro,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",6648,08028,11169,6500
Glendora,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",1912,08029,2942,6500
Gloucester City,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4859,08030,6997,6500
Bellmawr,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4597,08031,6963,6500
Grenloch,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",182,08032,257,6500
Haddonfield,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",6687,08033,12168,6500
Cherry Hill,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",6766,08034,12600,6500
Haddon Heights,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",3028,08035,5524,6500
Hainesport,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",2309,08036,4255,6500
Hammonton,Atlantic,0.7346057,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",8738,08037,14380,6500
Jobstown,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",356,08041,617,6500
Voorhees,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",11625,08043,18917,6500
Lawnside,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",1078,08045,2046,6500
Willingboro,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",10524,08046,20768,6500
Lumberton,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4532,08048,7905,6500
Magnolia,Camden,0.8189209,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",2039,08049,3254,6500
Mantua,Gloucester,0.8496726,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",4461,08051,7031,6500
Maple Shade,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",8777,08052,10461,6500
Marlton,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",17632,08053,31401,6500
Mount Laurel,Burlington,0.7980052,168,0,0,0,0,N,NJ,0.7794278,3070650,6500,ComcastInterconnect,Philadelphia Interconnect,2393350,interconnect,"Comcast/Philadelphia Interconnect, PA (6500)",18153,08054,29018,6500
